datetime,date,time,month,week,category,amount,description,type
2024-01-18 00:13:26,2024-01-18,00:13:26,January 2024,Week 3,Groceries,141.45,Groceries expense,need
2024-01-19 23:32:06,2024-01-19,23:32:06,January 2024,Week 3,Transport,238.86,Transport expense,need
2024-01-22 12:10:43,2024-01-22,12:10:43,January 2024,Week 4,Utilities,238.47,Utilities expense,need
2024-01-24 00:12:24,2024-01-24,00:12:24,January 2024,Week 4,Entertainment,246.07,Entertainment expense,want
2024-01-24 00:17:26,2024-01-24,00:17:26,January 2024,Week 4,Groceries,318.72,Groceries expense,need
2024-01-24 07:43:55,2024-01-24,07:43:55,January 2024,Week 4,Dining Out,36.41,Dining Out expense,want
2024-01-25 02:14:29,2024-01-25,02:14:29,January 2024,Week 4,Transport,382.81,Transport expense,need
2024-01-25 13:28:28,2024-01-25,13:28:28,January 2024,Week 4,Groceries,163.3,Groceries expense,need
2024-01-25 19:23:34,2024-01-25,19:23:34,January 2024,Week 4,Food Delivery,8.24,Food Delivery expense,want
2024-01-25 22:28:06,2024-01-25,22:28:06,January 2024,Week 4,Healthcare,23.52,Healthcare expense,need
2024-01-25 22:34:13,2024-01-25,22:34:13,January 2024,Week 4,Groceries,491.11,Groceries expense,need
2024-01-26 01:31:54,2024-01-26,01:31:54,January 2024,Week 4,Food Delivery,7.04,Food Delivery expense,want
2024-01-27 04:47:34,2024-01-27,04:47:34,January 2024,Week 4,Groceries,394.37,Groceries expense,need
2024-01-27 10:14:08,2024-01-27,10:14:08,January 2024,Week 4,Subscriptions,42.39,Subscriptions expense,want
2024-01-27 12:15:46,2024-01-27,12:15:46,January 2024,Week 4,Travel,287.89,Travel expense,want
2024-01-28 13:47:25,2024-01-28,13:47:25,January 2024,Week 4,Rent,967.5,Rent expense,need
2024-01-28 14:54:35,2024-01-28,14:54:35,January 2024,Week 4,Entertainment,22.49,Entertainment expense,want
2024-01-29 01:21:08,2024-01-29,01:21:08,January 2024,Week 5,Shopping,258.65,Shopping expense,want
2024-01-29 03:53:46,2024-01-29,03:53:46,January 2024,Week 5,Groceries,103.06,Groceries expense,need
2024-01-29 10:14:35,2024-01-29,10:14:35,January 2024,Week 5,Subscriptions,46.67,Subscriptions expense,want
2024-01-29 11:05:14,2024-01-29,11:05:14,January 2024,Week 5,Subscriptions,18.05,Subscriptions expense,want
2024-01-29 12:58:04,2024-01-29,12:58:04,January 2024,Week 5,Entertainment,57.43,Entertainment expense,want
2024-01-29 14:32:46,2024-01-29,14:32:46,January 2024,Week 5,Rent,610.76,Rent expense,need
2024-01-30 00:30:36,2024-01-30,00:30:36,January 2024,Week 5,Transport,126.3,Transport expense,need
2024-01-30 07:44:52,2024-01-30,07:44:52,January 2024,Week 5,Groceries,428.4,Groceries expense,need
2024-01-30 22:18:44,2024-01-30,22:18:44,January 2024,Week 5,Shopping,420.42,Shopping expense,want
2024-01-30 23:34:27,2024-01-30,23:34:27,January 2024,Week 5,Utilities,287.15,Utilities expense,need
2024-01-31 12:36:20,2024-01-31,12:36:20,January 2024,Week 5,Entertainment,115.6,Entertainment expense,want
2024-01-31 14:55:07,2024-01-31,14:55:07,January 2024,Week 5,Subscriptions,11.12,Subscriptions expense,want
2024-02-01 17:42:42,2024-02-01,17:42:42,February 2024,Week 5,Utilities,239.25,Utilities expense,need
2024-02-01 18:03:54,2024-02-01,18:03:54,February 2024,Week 5,Subscriptions,38.18,Subscriptions expense,want
2024-02-01 18:28:21,2024-02-01,18:28:21,February 2024,Week 5,Subscriptions,14.82,Subscriptions expense,want
2024-02-02 03:41:36,2024-02-02,03:41:36,February 2024,Week 5,Entertainment,183.64,Entertainment expense,want
2024-02-03 08:21:29,2024-02-03,08:21:29,February 2024,Week 5,Utilities,85.21,Utilities expense,need
2024-02-03 17:45:48,2024-02-03,17:45:48,February 2024,Week 5,Transport,369.6,Transport expense,need
2024-02-03 20:15:56,2024-02-03,20:15:56,February 2024,Week 5,Utilities,190.68,Utilities expense,need
2024-02-04 04:23:10,2024-02-04,04:23:10,February 2024,Week 5,Food Delivery,19.97,Food Delivery expense,want
2024-02-04 04:59:39,2024-02-04,04:59:39,February 2024,Week 5,Dining Out,162.49,Dining Out expense,want
2024-02-05 10:33:49,2024-02-05,10:33:49,February 2024,Week 6,Utilities,171.65,Utilities expense,need
2024-02-05 17:15:25,2024-02-05,17:15:25,February 2024,Week 6,Healthcare,142.67,Healthcare expense,need
2024-02-06 00:41:21,2024-02-06,00:41:21,February 2024,Week 6,Travel,297.27,Travel expense,want
2024-02-06 09:16:18,2024-02-06,09:16:18,February 2024,Week 6,Food Delivery,73.12,Food Delivery expense,want
2024-02-07 00:02:24,2024-02-07,00:02:24,February 2024,Week 6,Travel,826.35,Travel expense,want
2024-02-07 00:25:51,2024-02-07,00:25:51,February 2024,Week 6,Groceries,179.93,Groceries expense,need
2024-02-07 05:55:43,2024-02-07,05:55:43,February 2024,Week 6,Shopping,430.91,Shopping expense,want
2024-02-08 07:40:28,2024-02-08,07:40:28,February 2024,Week 6,Utilities,205.31,Utilities expense,need
2024-02-08 11:23:21,2024-02-08,11:23:21,February 2024,Week 6,Subscriptions,17.25,Subscriptions expense,want
2024-02-08 13:48:52,2024-02-08,13:48:52,February 2024,Week 6,Food Delivery,74.13,Food Delivery expense,want
2024-02-09 02:03:18,2024-02-09,02:03:18,February 2024,Week 6,Rent,1212.81,Rent expense,need
2024-02-09 08:12:17,2024-02-09,08:12:17,February 2024,Week 6,Entertainment,87.72,Entertainment expense,want
2024-02-09 16:14:18,2024-02-09,16:14:18,February 2024,Week 6,Subscriptions,24.2,Subscriptions expense,want
2024-02-11 04:30:43,2024-02-11,04:30:43,February 2024,Week 6,Subscriptions,11.18,Subscriptions expense,want
2024-02-11 13:39:31,2024-02-11,13:39:31,February 2024,Week 6,Travel,607.7,Travel expense,want
2024-02-11 15:05:40,2024-02-11,15:05:40,February 2024,Week 6,Subscriptions,14.58,Subscriptions expense,want
2024-02-12 00:07:13,2024-02-12,00:07:13,February 2024,Week 7,Dining Out,183.63,Dining Out expense,want
2024-02-12 01:01:57,2024-02-12,01:01:57,February 2024,Week 7,Healthcare,91.66,Healthcare expense,need
2024-02-12 03:54:41,2024-02-12,03:54:41,February 2024,Week 7,Shopping,396.26,Shopping expense,want
2024-02-12 05:52:41,2024-02-12,05:52:41,February 2024,Week 7,Rent,1140.41,Rent expense,need
2024-02-12 12:30:16,2024-02-12,12:30:16,February 2024,Week 7,Dining Out,46.26,Dining Out expense,want
2024-02-12 16:40:15,2024-02-12,16:40:15,February 2024,Week 7,Subscriptions,25.75,Subscriptions expense,want
2024-02-12 18:41:35,2024-02-12,18:41:35,February 2024,Week 7,Groceries,158.63,Groceries expense,need
2024-02-13 03:26:26,2024-02-13,03:26:26,February 2024,Week 7,Groceries,367.5,Groceries expense,need
2024-02-13 08:03:57,2024-02-13,08:03:57,February 2024,Week 7,Healthcare,238.09,Healthcare expense,need
2024-02-13 10:40:46,2024-02-13,10:40:46,February 2024,Week 7,Entertainment,22.93,Entertainment expense,want
2024-02-13 12:01:06,2024-02-13,12:01:06,February 2024,Week 7,Dining Out,48.59,Dining Out expense,want
2024-02-15 04:11:20,2024-02-15,04:11:20,February 2024,Week 7,Rent,1557.1,Rent expense,need
2024-02-15 22:45:33,2024-02-15,22:45:33,February 2024,Week 7,Rent,1411.67,Rent expense,need
2024-02-16 01:44:01,2024-02-16,01:44:01,February 2024,Week 7,Food Delivery,94.36,Food Delivery expense,want
2024-02-16 07:49:07,2024-02-16,07:49:07,February 2024,Week 7,Healthcare,21.0,Healthcare expense,need
2024-02-16 10:24:41,2024-02-16,10:24:41,February 2024,Week 7,Groceries,190.0,Groceries expense,need
2024-02-17 12:06:05,2024-02-17,12:06:05,February 2024,Week 7,Transport,193.07,Transport expense,need
2024-02-17 16:15:10,2024-02-17,16:15:10,February 2024,Week 7,Subscriptions,5.38,Subscriptions expense,want
2024-02-17 21:17:44,2024-02-17,21:17:44,February 2024,Week 7,Travel,984.29,Travel expense,want
2024-02-18 00:46:45,2024-02-18,00:46:45,February 2024,Week 7,Subscriptions,45.91,Subscriptions expense,want
2024-02-18 10:01:32,2024-02-18,10:01:32,February 2024,Week 7,Travel,292.36,Travel expense,want
2024-02-18 11:20:50,2024-02-18,11:20:50,February 2024,Week 7,Healthcare,258.52,Healthcare expense,need
2024-02-19 01:41:07,2024-02-19,01:41:07,February 2024,Week 8,Rent,1365.43,Rent expense,need
2024-02-19 02:20:52,2024-02-19,02:20:52,February 2024,Week 8,Food Delivery,74.29,Food Delivery expense,want
2024-02-19 17:27:32,2024-02-19,17:27:32,February 2024,Week 8,Travel,880.76,Travel expense,want
2024-02-20 05:33:40,2024-02-20,05:33:40,February 2024,Week 8,Food Delivery,41.67,Food Delivery expense,want
2024-02-21 10:15:56,2024-02-21,10:15:56,February 2024,Week 8,Transport,384.56,Transport expense,need
2024-02-23 19:43:26,2024-02-23,19:43:26,February 2024,Week 8,Healthcare,123.6,Healthcare expense,need
2024-02-25 18:55:27,2024-02-25,18:55:27,February 2024,Week 8,Dining Out,118.61,Dining Out expense,want
2024-02-26 01:13:31,2024-02-26,01:13:31,February 2024,Week 9,Shopping,403.54,Shopping expense,want
2024-02-26 03:04:50,2024-02-26,03:04:50,February 2024,Week 9,Transport,215.44,Transport expense,need
2024-02-26 08:56:49,2024-02-26,08:56:49,February 2024,Week 9,Travel,137.09,Travel expense,want
2024-02-26 13:45:40,2024-02-26,13:45:40,February 2024,Week 9,Subscriptions,10.73,Subscriptions expense,want
2024-02-26 21:24:09,2024-02-26,21:24:09,February 2024,Week 9,Rent,1072.12,Rent expense,need
2024-02-27 03:27:57,2024-02-27,03:27:57,February 2024,Week 9,Healthcare,125.89,Healthcare expense,need
2024-02-27 05:36:01,2024-02-27,05:36:01,February 2024,Week 9,Food Delivery,17.44,Food Delivery expense,want
2024-02-28 02:35:50,2024-02-28,02:35:50,February 2024,Week 9,Healthcare,100.16,Healthcare expense,need
2024-02-29 07:19:39,2024-02-29,07:19:39,February 2024,Week 9,Dining Out,43.4,Dining Out expense,want
2024-02-29 14:40:52,2024-02-29,14:40:52,February 2024,Week 9,Entertainment,191.59,Entertainment expense,want
2024-02-29 21:11:19,2024-02-29,21:11:19,February 2024,Week 9,Subscriptions,28.36,Subscriptions expense,want
2024-03-02 00:30:12,2024-03-02,00:30:12,March 2024,Week 9,Groceries,394.5,Groceries expense,need
2024-03-02 06:03:39,2024-03-02,06:03:39,March 2024,Week 9,Travel,814.56,Travel expense,want
2024-03-02 23:25:13,2024-03-02,23:25:13,March 2024,Week 9,Subscriptions,27.84,Subscriptions expense,want
2024-03-03 05:14:28,2024-03-03,05:14:28,March 2024,Week 9,Transport,382.29,Transport expense,need
2024-03-03 08:56:29,2024-03-03,08:56:29,March 2024,Week 9,Groceries,322.58,Groceries expense,need
2024-03-03 19:19:12,2024-03-03,19:19:12,March 2024,Week 9,Travel,306.07,Travel expense,want
2024-03-03 20:36:41,2024-03-03,20:36:41,March 2024,Week 9,Shopping,470.25,Shopping expense,want
2024-03-04 05:01:22,2024-03-04,05:01:22,March 2024,Week 10,Transport,78.94,Transport expense,need
2024-03-04 15:00:52,2024-03-04,15:00:52,March 2024,Week 10,Rent,1762.66,Rent expense,need
2024-03-05 05:08:01,2024-03-05,05:08:01,March 2024,Week 10,Shopping,408.38,Shopping expense,want
2024-03-05 08:41:15,2024-03-05,08:41:15,March 2024,Week 10,Utilities,272.05,Utilities expense,need
2024-03-06 00:45:15,2024-03-06,00:45:15,March 2024,Week 10,Shopping,86.74,Shopping expense,want
2024-03-06 00:52:19,2024-03-06,00:52:19,March 2024,Week 10,Shopping,333.6,Shopping expense,want
2024-03-09 02:25:41,2024-03-09,02:25:41,March 2024,Week 10,Groceries,450.52,Groceries expense,need
2024-03-11 13:12:16,2024-03-11,13:12:16,March 2024,Week 11,Transport,295.03,Transport expense,need
2024-03-11 17:03:43,2024-03-11,17:03:43,March 2024,Week 11,Healthcare,64.3,Healthcare expense,need
2024-03-11 19:46:22,2024-03-11,19:46:22,March 2024,Week 11,Subscriptions,47.23,Subscriptions expense,want
2024-03-12 11:17:02,2024-03-12,11:17:02,March 2024,Week 11,Food Delivery,34.51,Food Delivery expense,want
2024-03-13 02:45:31,2024-03-13,02:45:31,March 2024,Week 11,Groceries,84.44,Groceries expense,need
2024-03-13 03:40:51,2024-03-13,03:40:51,March 2024,Week 11,Utilities,209.11,Utilities expense,need
2024-03-13 04:39:44,2024-03-13,04:39:44,March 2024,Week 11,Food Delivery,28.29,Food Delivery expense,want
2024-03-13 05:34:44,2024-03-13,05:34:44,March 2024,Week 11,Subscriptions,10.74,Subscriptions expense,want
2024-03-13 09:22:26,2024-03-13,09:22:26,March 2024,Week 11,Utilities,260.36,Utilities expense,need
2024-03-13 14:50:24,2024-03-13,14:50:24,March 2024,Week 11,Rent,1140.18,Rent expense,need
2024-03-13 16:00:44,2024-03-13,16:00:44,March 2024,Week 11,Subscriptions,27.71,Subscriptions expense,want
2024-03-14 04:22:45,2024-03-14,04:22:45,March 2024,Week 11,Dining Out,30.01,Dining Out expense,want
2024-03-14 09:12:44,2024-03-14,09:12:44,March 2024,Week 11,Food Delivery,6.83,Food Delivery expense,want
2024-03-14 10:24:25,2024-03-14,10:24:25,March 2024,Week 11,Utilities,150.35,Utilities expense,need
2024-03-14 17:23:45,2024-03-14,17:23:45,March 2024,Week 11,Groceries,344.82,Groceries expense,need
2024-03-15 01:14:44,2024-03-15,01:14:44,March 2024,Week 11,Transport,314.36,Transport expense,need
2024-03-15 01:22:58,2024-03-15,01:22:58,March 2024,Week 11,Healthcare,252.31,Healthcare expense,need
2024-03-15 06:34:05,2024-03-15,06:34:05,March 2024,Week 11,Rent,662.49,Rent expense,need
2024-03-15 12:54:08,2024-03-15,12:54:08,March 2024,Week 11,Shopping,237.17,Shopping expense,want
2024-03-15 23:56:23,2024-03-15,23:56:23,March 2024,Week 11,Groceries,320.82,Groceries expense,need
2024-03-16 19:06:16,2024-03-16,19:06:16,March 2024,Week 11,Rent,1446.34,Rent expense,need
2024-03-17 13:46:22,2024-03-17,13:46:22,March 2024,Week 11,Food Delivery,51.49,Food Delivery expense,want
2024-03-18 21:04:58,2024-03-18,21:04:58,March 2024,Week 12,Healthcare,60.71,Healthcare expense,need
2024-03-19 19:47:30,2024-03-19,19:47:30,March 2024,Week 12,Entertainment,26.74,Entertainment expense,want
2024-03-19 21:38:44,2024-03-19,21:38:44,March 2024,Week 12,Food Delivery,17.8,Food Delivery expense,want
2024-03-21 01:16:56,2024-03-21,01:16:56,March 2024,Week 12,Travel,630.48,Travel expense,want
2024-03-21 04:06:35,2024-03-21,04:06:35,March 2024,Week 12,Rent,695.25,Rent expense,need
2024-03-21 12:39:13,2024-03-21,12:39:13,March 2024,Week 12,Utilities,199.53,Utilities expense,need
2024-03-21 18:01:53,2024-03-21,18:01:53,March 2024,Week 12,Shopping,412.7,Shopping expense,want
2024-03-21 22:46:30,2024-03-21,22:46:30,March 2024,Week 12,Groceries,435.98,Groceries expense,need
2024-03-22 03:03:25,2024-03-22,03:03:25,March 2024,Week 12,Shopping,209.0,Shopping expense,want
2024-03-22 23:26:11,2024-03-22,23:26:11,March 2024,Week 12,Transport,81.32,Transport expense,need
2024-03-24 00:27:57,2024-03-24,00:27:57,March 2024,Week 12,Entertainment,75.52,Entertainment expense,want
2024-03-24 05:40:40,2024-03-24,05:40:40,March 2024,Week 12,Rent,1360.75,Rent expense,need
2024-03-24 14:39:29,2024-03-24,14:39:29,March 2024,Week 12,Dining Out,101.19,Dining Out expense,want
2024-03-24 17:54:21,2024-03-24,17:54:21,March 2024,Week 12,Dining Out,105.55,Dining Out expense,want
2024-03-25 02:44:11,2024-03-25,02:44:11,March 2024,Week 13,Groceries,277.07,Groceries expense,need
2024-03-25 03:01:54,2024-03-25,03:01:54,March 2024,Week 13,Groceries,250.55,Groceries expense,need
2024-03-25 14:37:25,2024-03-25,14:37:25,March 2024,Week 13,Travel,449.5,Travel expense,want
2024-03-25 22:01:32,2024-03-25,22:01:32,March 2024,Week 13,Rent,1997.37,Rent expense,need
2024-03-27 20:10:13,2024-03-27,20:10:13,March 2024,Week 13,Shopping,396.36,Shopping expense,want
2024-03-28 01:42:37,2024-03-28,01:42:37,March 2024,Week 13,Transport,469.05,Transport expense,need
2024-03-28 17:35:02,2024-03-28,17:35:02,March 2024,Week 13,Dining Out,67.92,Dining Out expense,want
2024-03-28 23:22:52,2024-03-28,23:22:52,March 2024,Week 13,Subscriptions,30.55,Subscriptions expense,want
2024-03-29 03:18:01,2024-03-29,03:18:01,March 2024,Week 13,Entertainment,181.85,Entertainment expense,want
2024-03-30 05:28:12,2024-03-30,05:28:12,March 2024,Week 13,Utilities,199.42,Utilities expense,need
2024-03-31 00:49:16,2024-03-31,00:49:16,March 2024,Week 13,Travel,813.41,Travel expense,want
2024-03-31 12:47:27,2024-03-31,12:47:27,March 2024,Week 13,Entertainment,123.49,Entertainment expense,want
2024-03-31 19:48:45,2024-03-31,19:48:45,March 2024,Week 13,Dining Out,111.52,Dining Out expense,want
2024-04-01 02:57:56,2024-04-01,02:57:56,April 2024,Week 14,Dining Out,162.19,Dining Out expense,want
2024-04-01 09:53:59,2024-04-01,09:53:59,April 2024,Week 14,Healthcare,263.52,Healthcare expense,need
2024-04-01 12:08:50,2024-04-01,12:08:50,April 2024,Week 14,Food Delivery,14.28,Food Delivery expense,want
2024-04-02 01:51:40,2024-04-02,01:51:40,April 2024,Week 14,Transport,154.26,Transport expense,need
2024-04-02 07:10:17,2024-04-02,07:10:17,April 2024,Week 14,Travel,80.67,Travel expense,want
2024-04-02 07:57:30,2024-04-02,07:57:30,April 2024,Week 14,Dining Out,102.13,Dining Out expense,want
2024-04-02 09:34:13,2024-04-02,09:34:13,April 2024,Week 14,Entertainment,64.31,Entertainment expense,want
2024-04-02 11:57:19,2024-04-02,11:57:19,April 2024,Week 14,Groceries,434.55,Groceries expense,need
2024-04-02 22:39:03,2024-04-02,22:39:03,April 2024,Week 14,Groceries,205.21,Groceries expense,need
2024-04-03 10:59:45,2024-04-03,10:59:45,April 2024,Week 14,Subscriptions,48.91,Subscriptions expense,want
2024-04-03 13:07:53,2024-04-03,13:07:53,April 2024,Week 14,Subscriptions,49.83,Subscriptions expense,want
2024-04-03 22:33:45,2024-04-03,22:33:45,April 2024,Week 14,Food Delivery,50.31,Food Delivery expense,want
2024-04-04 17:47:31,2024-04-04,17:47:31,April 2024,Week 14,Healthcare,181.46,Healthcare expense,need
2024-04-04 20:39:45,2024-04-04,20:39:45,April 2024,Week 14,Subscriptions,27.77,Subscriptions expense,want
2024-04-05 08:02:25,2024-04-05,08:02:25,April 2024,Week 14,Entertainment,182.18,Entertainment expense,want
2024-04-06 02:12:11,2024-04-06,02:12:11,April 2024,Week 14,Shopping,451.71,Shopping expense,want
2024-04-06 09:23:37,2024-04-06,09:23:37,April 2024,Week 14,Food Delivery,12.45,Food Delivery expense,want
2024-04-07 11:43:24,2024-04-07,11:43:24,April 2024,Week 14,Entertainment,153.14,Entertainment expense,want
2024-04-07 12:38:14,2024-04-07,12:38:14,April 2024,Week 14,Shopping,401.05,Shopping expense,want
2024-04-08 03:36:53,2024-04-08,03:36:53,April 2024,Week 15,Rent,1995.82,Rent expense,need
2024-04-08 21:08:15,2024-04-08,21:08:15,April 2024,Week 15,Shopping,246.16,Shopping expense,want
2024-04-09 16:32:27,2024-04-09,16:32:27,April 2024,Week 15,Shopping,462.91,Shopping expense,want
2024-04-10 02:49:46,2024-04-10,02:49:46,April 2024,Week 15,Shopping,219.05,Shopping expense,want
2024-04-10 06:56:06,2024-04-10,06:56:06,April 2024,Week 15,Transport,419.98,Transport expense,need
2024-04-10 15:01:22,2024-04-10,15:01:22,April 2024,Week 15,Transport,469.22,Transport expense,need
2024-04-10 15:04:49,2024-04-10,15:04:49,April 2024,Week 15,Subscriptions,18.31,Subscriptions expense,want
2024-04-11 12:26:34,2024-04-11,12:26:34,April 2024,Week 15,Travel,675.74,Travel expense,want
2024-04-11 21:11:32,2024-04-11,21:11:32,April 2024,Week 15,Transport,246.33,Transport expense,need
2024-04-12 07:41:38,2024-04-12,07:41:38,April 2024,Week 15,Food Delivery,33.02,Food Delivery expense,want
2024-04-13 10:01:21,2024-04-13,10:01:21,April 2024,Week 15,Entertainment,61.42,Entertainment expense,want
2024-04-13 13:02:32,2024-04-13,13:02:32,April 2024,Week 15,Utilities,199.03,Utilities expense,need
2024-04-13 15:36:27,2024-04-13,15:36:27,April 2024,Week 15,Subscriptions,32.81,Subscriptions expense,want
2024-04-13 16:18:40,2024-04-13,16:18:40,April 2024,Week 15,Transport,251.09,Transport expense,need
2024-04-13 23:56:52,2024-04-13,23:56:52,April 2024,Week 15,Subscriptions,42.56,Subscriptions expense,want
2024-04-14 02:44:05,2024-04-14,02:44:05,April 2024,Week 15,Transport,428.11,Transport expense,need
2024-04-14 07:21:31,2024-04-14,07:21:31,April 2024,Week 15,Travel,545.96,Travel expense,want
2024-04-14 17:42:06,2024-04-14,17:42:06,April 2024,Week 15,Travel,579.9,Travel expense,want
2024-04-14 21:26:48,2024-04-14,21:26:48,April 2024,Week 15,Dining Out,77.31,Dining Out expense,want
2024-04-14 21:47:50,2024-04-14,21:47:50,April 2024,Week 15,Rent,928.34,Rent expense,need
2024-04-15 15:07:48,2024-04-15,15:07:48,April 2024,Week 16,Dining Out,152.8,Dining Out expense,want
2024-04-17 03:32:03,2024-04-17,03:32:03,April 2024,Week 16,Subscriptions,48.26,Subscriptions expense,want
2024-04-17 07:56:47,2024-04-17,07:56:47,April 2024,Week 16,Transport,387.78,Transport expense,need
2024-04-17 17:28:19,2024-04-17,17:28:19,April 2024,Week 16,Food Delivery,13.65,Food Delivery expense,want
2024-04-17 23:35:03,2024-04-17,23:35:03,April 2024,Week 16,Healthcare,60.72,Healthcare expense,need
2024-04-18 02:47:56,2024-04-18,02:47:56,April 2024,Week 16,Healthcare,106.33,Healthcare expense,need
2024-04-18 10:40:15,2024-04-18,10:40:15,April 2024,Week 16,Rent,1344.93,Rent expense,need
2024-04-19 08:54:54,2024-04-19,08:54:54,April 2024,Week 16,Subscriptions,21.27,Subscriptions expense,want
2024-04-19 10:27:01,2024-04-19,10:27:01,April 2024,Week 16,Utilities,58.3,Utilities expense,need
2024-04-19 11:33:04,2024-04-19,11:33:04,April 2024,Week 16,Entertainment,39.79,Entertainment expense,want
2024-04-19 11:41:25,2024-04-19,11:41:25,April 2024,Week 16,Shopping,274.36,Shopping expense,want
2024-04-19 15:32:18,2024-04-19,15:32:18,April 2024,Week 16,Travel,969.44,Travel expense,want
2024-04-20 14:47:14,2024-04-20,14:47:14,April 2024,Week 16,Dining Out,149.17,Dining Out expense,want
2024-04-21 01:29:09,2024-04-21,01:29:09,April 2024,Week 16,Rent,1968.28,Rent expense,need
2024-04-22 07:44:42,2024-04-22,07:44:42,April 2024,Week 17,Food Delivery,88.58,Food Delivery expense,want
2024-04-23 07:17:41,2024-04-23,07:17:41,April 2024,Week 17,Subscriptions,36.67,Subscriptions expense,want
2024-04-24 00:56:13,2024-04-24,00:56:13,April 2024,Week 17,Dining Out,71.43,Dining Out expense,want
2024-04-24 13:58:07,2024-04-24,13:58:07,April 2024,Week 17,Dining Out,104.82,Dining Out expense,want
2024-04-24 15:11:23,2024-04-24,15:11:23,April 2024,Week 17,Entertainment,190.77,Entertainment expense,want
2024-04-25 04:07:08,2024-04-25,04:07:08,April 2024,Week 17,Subscriptions,39.81,Subscriptions expense,want
